ID,DATE,BOROUGH,LAT,LON,NUM_CASUALTIES,NUM_FATAL,NUM_SERIOUS,NUM_SLIGHT
258420,2015-05-24T07:30:00Z,Bromley,51.399129,-0.018475,1,0,0,1
136126,2010-10-31T10:31:00Z,Bromley,51.346134,0.136477,1,0,0,1
507266,2010-10-31T10:31:00Z,Bromley,51.346134,0.136477,1,0,0,1
629563,2015-06-12T09:10:00Z,Bromley,51.416828,-0.03353,1,0,0,1
258423,2015-06-12T09:10:00Z,Bromley,51.416828,-0.03353,1,0,0,1
283927,2016-05-28T09:12:00Z,Bromley,51.399043,-0.008128,1,0,0,1
655067,2016-05-28T09:12:00Z,Bromley,51.399043,-0.008128,1,0,0,1
42382,2006-12-30T12:18:00Z,Bromley,51.365316,0.110218,1,0,1,0
413522,2006-12-30T12:18:00Z,Bromley,51.365316,0.110218,1,0,1,0
460492,2008-07-24T08:25:00Z,Bromley,51.388732,0.062858,1,0,0,1
89352,2008-07-24T08:25:00Z,Bromley,51.388732,0.062858,1,0,0,1
233270,2014-12-18T18:35:00Z,Bromley,51.399403,0.10503,1,0,1,0
604410,2014-12-18T18:35:00Z,Bromley,51.399403,0.10503,1,0,1,0
336094,2018-03-08T16:50:00Z,Bromley,51.371264,-0.001791,1,0,0,1
707234,2018-03-08T16:50:00Z,Bromley,51.371264,-0.001791,1,0,0,1
208085,2013-09-20T22:57:00Z,Bromley,51.36667,0.03888,1,0,1,0
579225,2013-09-20T22:57:00Z,Bromley,51.36667,0.03888,1,0,1,0
42017,2006-06-24T09:00:00Z,Bromley,51.356762,0.105803,1,0,0,1
413157,2006-06-24T09:00:00Z,Bromley,51.356762,0.105803,1,0,0,1
42009,2006-06-11T20:15:00Z,Bromley,51.405711,0.032995,1,0,0,1
413149,2006-06-11T20:15:00Z,Bromley,51.405711,0.032995,1,0,0,1
184361,2012-03-07T07:30:00Z,Bromley,51.377701,0.11165,1,0,0,1
555501,2012-03-07T07:30:00Z,Bromley,51.377701,0.11165,1,0,0,1
336343,2018-07-19T17:17:00Z,Bromley,51.373784,0.0994,1,0,0,1
707483,2018-07-19T17:17:00Z,Bromley,51.373784,0.0994,1,0,0,1
135665,2010-02-18T07:10:00Z,Bromley,51.415619,0.005966,1,0,1,0
506805,2010-02-18T07:10:00Z,Bromley,51.415619,0.005966,1,0,1,0
160821,2011-01-04T17:40:00Z,Bromley,51.408188,-0.036863,1,0,0,1
531961,2011-01-04T17:40:00Z,Bromley,51.408188,-0.036863,1,0,0,1
232883,2014-06-26T18:45:00Z,Bromley,51.349879,0.088398,1,0,0,1
604023,2014-06-26T18:45:00Z,Bromley,51.349879,0.088398,1,0,0,1
184810,2012-11-18T13:30:00Z,Bromley,51.376492,0.108864,1,0,0,1
555950,2012-11-18T13:30:00Z,Bromley,51.376492,0.108864,1,0,0,1
41818,2006-03-02T07:45:00Z,Bromley,51.410579,-0.047028,1,0,0,1
412958,2006-03-02T07:45:00Z,Bromley,51.410579,-0.047028,1,0,0,1
160862,2011-05-29T10:55:00Z,Bromley,51.345876,0.008806,1,1,0,0
532002,2011-05-29T10:55:00Z,Bromley,51.345876,0.008806,1,1,0,0
335995,2018-01-16T06:45:00Z,Bromley,51.411976,0.008683,1,0,0,1
707135,2018-01-16T06:45:00Z,Bromley,51.411976,0.008683,1,0,0,1
16315,2005-08-06T15:48:00Z,Bromley,51.407339,0.011643,1,0,1,0
387455,2005-08-06T15:48:00Z,Bromley,51.407339,0.011643,1,0,1,0
135946,2010-07-24T12:30:00Z,Bromley,51.417607,-0.058665,1,0,1,0
507086,2010-07-24T12:30:00Z,Bromley,51.417607,-0.058665,1,0,1,0
208128,2013-09-01T12:32:00Z,Bromley,51.417607,-0.058665,1,0,0,1
579268,2013-09-01T12:32:00Z,Bromley,51.417607,-0.058665,1,0,0,1
483407,2009-08-07T17:15:00Z,Bromley,51.405582,0.014441,1,0,0,1
112267,2009-08-07T17:15:00Z,Bromley,51.405582,0.014441,1,0,0,1
483389,2009-07-27T16:25:00Z,Bromley,51.3792,0.042311,1,0,0,1
112249,2009-07-27T16:25:00Z,Bromley,51.3792,0.042311,1,0,0,1
233149,2014-10-28T10:45:00Z,Bromley,51.3792,0.042311,1,0,0,1
604289,2014-10-28T10:45:00Z,Bromley,51.3792,0.042311,1,0,0,1
359912,2019-07-24T07:35:00Z,Bromley,51.416167,-0.053161,1,0,0,1
731052,2019-07-24T07:35:00Z,Bromley,51.416167,-0.053161,1,0,0,1
208004,2013-08-05T07:15:00Z,Bromley,51.388474,0.051922,1,0,0,1
579144,2013-08-05T07:15:00Z,Bromley,51.388474,0.051922,1,0,0,1
16410,2005-09-13T08:50:00Z,Bromley,51.388071,0.059522,1,0,0,1
387550,2005-09-13T08:50:00Z,Bromley,51.388071,0.059522,1,0,0,1
360071,2019-08-04T15:25:00Z,Bromley,51.417204,-0.073453,1,0,0,1
731211,2019-08-04T15:25:00Z,Bromley,51.417204,-0.073453,1,0,0,1
66062,2007-07-18T12:50:00Z,Bromley,51.419638,0.01808,1,0,0,1
437202,2007-07-18T12:50:00Z,Bromley,51.419638,0.01808,1,0,0,1
283824,2016-01-26T06:50:00Z,Bromley,51.399059,-0.041049,1,0,0,1
654964,2016-01-26T06:50:00Z,Bromley,51.399059,-0.041049,1,0,0,1
135651,2010-02-17T18:28:00Z,Bromley,51.386271,-0.023918,1,0,0,1
506791,2010-02-17T18:28:00Z,Bromley,51.386271,-0.023918,1,0,0,1
629771,2015-09-09T07:40:00Z,Bromley,51.396942,0.045976,1,0,0,1
258631,2015-09-09T07:40:00Z,Bromley,51.396942,0.045976,1,0,0,1
184375,2012-03-13T18:00:00Z,Bromley,51.413921,-0.069607,1,0,0,1
